# Freiraum-Messung des XBandAbsorbers mit 15 und 150 Ohm Widerstaenden
# f [GHz], Re(S11), Im(S11), Re(S21), Im(S21)
4.54312, -0.51603, 0.56167, -7.46038E-4, 0.00141
4.55125, -0.51244, 0.56352, 7.68627E-4, 0.00127
4.55938, -0.5095, 0.56309, 0.00131, 0.00114
4.5675, -0.50487, 0.56236, 0.00184, 1.57932E-4
4.57563, -0.50204, 0.56165, 7.68166E-4, -7.83295E-4
4.58375, -0.49684, 0.56104, 2.11034E-4, 2.97167E-4
4.59187, -0.49199, 0.55975, 5.25865E-4, 3.08848E-4
4.6, -0.49324, 0.5588, 8.93991E-4, 9.80602E-4
4.60813, -0.48879, 0.55701, 0.00163, 0.00146
4.61625, -0.48346, 0.55641, 0.00223, 9.07062E-4
4.62437, -0.47891, 0.55489, 0.00308, 2.96314E-4
4.6325, -0.47451, 0.55198, 0.00295, 4.25751E-6
4.64063, -0.47229, 0.55019, 0.00308, -7.65078E-4
4.64875, -0.46815, 0.54825, 0.00262, -0.00205
4.65688, -0.46411, 0.54614, 0.00181, -0.00233
4.665, -0.46182, 0.54639, 8.38174E-4, -0.00227
4.67312, -0.45747, 0.54445, 3.58851E-4, -0.0012
4.68125, -0.45442, 0.54405, 3.22509E-4, -0.00111
4.68938, -0.45055, 0.54107, 6.68814E-4, -0.00132
4.6975, -0.44664, 0.53867, 5.41523E-5, -0.00123
4.70562, -0.44307, 0.53657, -8.46337E-4, -0.0014
4.71375, -0.4435, 0.53335, -0.00109, -7.3614E-5
4.72187, -0.44061, 0.53131, -5.1812E-4, 0.0013
4.73, -0.43956, 0.53056, 7.70974E-4, 0.00214
4.73813, -0.43556, 0.53119, 0.00207, 0.00182
4.74625, -0.43229, 0.5309, 0.00342, 3.23817E-4
4.75437, -0.42719, 0.52922, 0.00381, -0.00115
4.7625, -0.42216, 0.52541, 0.00292, -0.00262
4.77062, -0.42019, 0.52056, 0.00135, -0.0031
4.77875, -0.42091, 0.51804, 2.97705E-5, -0.00302
4.78688, -0.41967, 0.51656, -2.99791E-4, -0.00191
4.795, -0.41839, 0.51729, -2.9127E-4, -0.00135
4.80312, -0.41483, 0.51894, 1.23302E-4, -0.001
4.81125, -0.40928, 0.51874, -1.32633E-4, -0.00146
4.81938, -0.40283, 0.51655, -0.0013, -0.00114
4.8275, -0.40055, 0.51376, -0.00192, 1.20771E-4
4.83563, -0.39608, 0.50652, -0.00114, 0.00216
4.84375, -0.3952, 0.5026, 1.40981E-4, 0.00237
4.85187, -0.39551, 0.50244, 0.0024, 0.00209
4.86, -0.39297, 0.5009, 0.00337, 2.18857E-4
4.86813, -0.38857, 0.49914, 0.00261, -0.00117
4.87625, -0.38392, 0.49661, 0.00126, -0.00138
4.88438, -0.38006, 0.49201, 8.62237E-4, -0.00109
4.8925, -0.37911, 0.48935, 8.61596E-4, -6.22224E-4
4.90062, -0.37698, 0.48483, 0.00111, -8.18161E-4
4.90875, -0.37619, 0.4827, 4.86297E-4, -0.0011
4.91688, -0.37526, 0.48219, 3.57423E-4, -3.55363E-4
4.925, -0.37365, 0.48106, 5.64573E-4, -3.06664E-4
4.93313, -0.37041, 0.47976, 8.7287E-4, -5.41783E-4
4.94125, -0.36886, 0.47823, 6.76386E-4, -9.28602E-4
4.94937, -0.36461, 0.47436, 7.5896E-4, -4.21197E-4
4.9575, -0.36247, 0.47151, 7.93377E-4, -2.88641E-4
4.96563, -0.36119, 0.46732, 7.34755E-4, 1.12029E-4
4.97375, -0.35967, 0.46363, 0.00101, -2.74855E-4
4.98188, -0.35744, 0.46147, 9.33892E-4, -2.11141E-4
4.99, -0.35464, 0.45955, 8.11836E-4, -6.43937E-5
4.99812, -0.35326, 0.45868, 0.00102, -2.24297E-4
5.00625, -0.35154, 0.45444, 0.00121, -4.08612E-4
5.01438, -0.35064, 0.45142, 0.00148, -4.32733E-4
5.0225, -0.34927, 0.45067, 0.00165, -0.00109
5.03062, -0.34729, 0.45003, 7.61536E-4, -0.00116
5.03875, -0.34394, 0.44803, 8.4727E-4, -7.37717E-4
5.04688, -0.34097, 0.44437, 9.40778E-4, -3.50357E-4
5.055, -0.34011, 0.44011, 0.00138, -3.12082E-4
5.06313, -0.3383, 0.43624, 0.00111, -3.80368E-4
5.07125, -0.33801, 0.43362, 0.00117, -3.5161E-4
5.07937, -0.33607, 0.4313, 0.00174, -4.73056E-4
5.0875, -0.33206, 0.43085, 0.00156, -7.76572E-4
5.09563, -0.32852, 0.42736, 0.00144, -0.00184
5.10375, -0.32627, 0.42228, 5.87533E-4, -0.00242
5.11188, -0.32768, 0.41641, -3.99715E-4, -0.00173
5.12, -0.32951, 0.41241, -0.00119, -6.53184E-4
5.12812, -0.33165, 0.4104, -1.4842E-5, 0.00112
5.13625, -0.33054, 0.41226, 0.00139, 0.00111
5.14438, -0.327, 0.41208, 0.00253, 2.05119E-4
5.1525, -0.32307, 0.41027, 0.00221, -8.79263E-4
